Filmina,Dificultad,Hemisferio,Consigna,Nivel de Ejercicio,Descripcion de Ejercicio,Dificultad de Nivel Ejercicio,Prioridad Coordinativa,Patron Tecnico/Tactico,Escenario:Hemisferio Derecho Defecto Excesivo,Escenario:Hemisferio Izquierdo Defecto Excesivo,Escenario:Hemisferio Derecho Defecto Moderado,Escenario:Hemisferio Izquierdo Defecto Moderado,Escenario: Hemisferio Izquierdo Exceso Moderado,Escenario: Hemisferio Derecho Exceso Moderado,Escenario: Hemisferio Izquierdo Muy Excedido,Escenario: Hemisferio Derecho Muy Excedido,Escenarios Optimo,Modificador Fisico,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,1,Solo decir el Numero,10%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,"santadillas, plancha, alargar distancias para que tenga que correr",,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,1,Tocar con manos y pies al mismo tiempo,10%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,Sumar modificadores fisicos a cada pack de ejercicios
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,1,Cruzo mano en los impares,10%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,"(fisico = Exigir a la persona, que se desgaste, pierda"
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,2,Solo decir el Numero,10%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,concentracion por agitarse)
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,2,Tocar con manos y pies al mismo tiempo,10%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,2,Cruzo mano en los pares,10%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,3,Solo decir el Numero,10%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,3,Tocar con manos y pies al mismo tiempo,10%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,3,Cruzo pie en los impares,10%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,4,Solo decir el Numero,10%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,4,Tocar con manos y pies al mismo tiempo,10%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,4,Cruzo pie en los pares,10%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,5,Solo decir el Numero,20%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,5,Tocar primero con manos y despues con pies,20%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,5,Cruzo mano en los impares,20%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,6,Solo decir el Numero,20%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,6,Tocar primero con manos y despues con pies,20%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,6,Cruzo mano en los pares,20%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,7,Solo decir el Numero,15%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,7,Tocar primero con manos y despues con pies,15%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,7,Cruzo pie en los impares,15%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,8,Solo decir el Numero,15%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,8,Tocar primero con manos y despues con pies,15%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,8,Cruzo pie en los pares,15%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,9,Solo decir el Numero,15%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,9,Tocar primero con pies y despues con manos,15%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,9,Cruzo mano en los impares,15%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,10,Solo decir el Numero,15%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,10,Tocar primero con pies y despues con manos,15%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,10,Cruzo mano en los pares,15%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,11,Solo decir el Numero,20%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,11,Tocar primero con pies y despues con manos,20%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,11,Cruzo pie en los impares,20%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,12,Solo decir el Numero,20%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,12,Tocar primero con pies y despues con manos,20%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,12,Cruzo pie en los pares,20%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,13,Solo decir el Numero,5%,Sin Prioridad,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,13,Tocar con manos y pies al mismo tiempo,5%,Sin Prioridad,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,13,Sin cruzar en pares o impares,5%,Sin Prioridad,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,14,Solo decir el Numero,5%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,14,Tocar primero con manos y despues con pies,5%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,14,Sin cruzar en pares o impares,5%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,15,Solo decir el Numero,5%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,15,Tocar primero con pies y despues con manos,5%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,15,Sin cruzar en pares o impares,5%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,16,Solo decir el Numero,5%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,16,Solo toca con Mano,5%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,16,No cruzar,5%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,17,Solo decir el Numero,5%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,17,Solo toca con Mano,5%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,17,Cruza mano en los pares o impares,5%,Mano,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,18,Solo decir el Numero,5%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,18,Solo toca pie,5%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,18,No cruzar,5%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,19,Solo decir el Numero,5%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,19,Solo toca pie,5%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,19,Cruza pie en los pares o impares,5%,Pie,Ojo Derecho ,A.1,,,,,,,E.2,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,1,Solo decir el color,10%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,1,Tocar con manos y pies al mismo tiempo,10%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,1,Cruzo mano en los impares,10%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,2,Solo decir el color,10%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,2,Tocar con manos y pies al mismo tiempo,10%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,2,Cruzo mano en los pares,10%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,3,Solo decir el color,10%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,3,Tocar con manos y pies al mismo tiempo,10%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,3,Cruzo pie en los impares,10%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,4,Solo decir el color,10%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,4,Tocar con manos y pies al mismo tiempo,10%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,4,Cruzo pie en los pares,10%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,5,Solo decir el color,20%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,5,Tocar primero con manos y despues con pies,20%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,5,Cruzo mano en los impares,20%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,6,Solo decir el color,20%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,6,Tocar primero con manos y despues con pies,20%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,6,Cruzo mano en los pares,20%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,7,Solo decir el color,15%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,7,Tocar primero con manos y despues con pies,15%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,7,Cruzo pie en los impares,15%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,8,Solo decir el color,15%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,8,Tocar primero con manos y despues con pies,15%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,8,Cruzo pie en los pares,15%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,9,Solo decir el color,15%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,9,Tocar primero con pies y despues con manos,15%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,9,Cruzo mano en los impares,15%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,10,Solo decir el color,15%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,10,Tocar primero con pies y despues con manos,15%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,10,Cruzo mano en los pares,15%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,11,Solo decir el color,20%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,11,Tocar primero con pies y despues con manos,20%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,11,Cruzo pie en los impares,20%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,12,Solo decir el color,20%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,12,Tocar primero con pies y despues con manos,20%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,12,Cruzo pie en los pares,20%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,13,Solo decir el color,5%,Sin Prioridad,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,13,Tocar con manos y pies al mismo tiempo,5%,Sin Prioridad,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,13,Sin cruzar en pares o impares,5%,Sin Prioridad,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,14,Solo decir el color,5%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,14,Tocar primero con manos y despues con pies,5%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,14,Sin cruzar en pares o impares,5%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,15,Solo decir el color,5%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,15,Tocar primero con pies y despues con manos,5%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,15,Sin cruzar en pares o impares,5%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,16,Solo decir el color,5%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,16,Solo toca con Mano,5%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,16,No cruzar,5%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,17,Solo decir el color,5%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,17,Solo toca con Mano,5%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,17,Cruza mano en los pares o impares,5%,Mano,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,18,Solo decir el color,5%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,18,Solo toca pie,5%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,18,No cruzar,5%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,19,Solo decir el color,5%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,19,Solo toca pie,5%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HD,Solo decir color,19,Cruza pie en los pares o impares,5%,Pie,Ojo Izquierdo,,A.2,,,,,E.1,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,1,"Primero decir el numero, despues el color",15%,Mano,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,1,Tocar con manos y pies al mismo tiempo,15%,Mano,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,1,Cruzo mano en los impares,15%,Mano,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,2,"Primero decir el numero, despues el color",15%,Mano,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,2,Tocar con manos y pies al mismo tiempo,15%,Mano,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,2,Cruzo mano en los pares,15%,Mano,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,3,"Primero decir el numero, despues el color",15%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,3,Tocar con manos y pies al mismo tiempo,15%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,3,Cruzo pie en los impares,15%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,4,"Primero decir el numero, despues el color",15%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
